"num_ops_each","add","lookup","remove","requests_per_sec_add","requests_per_sec_lookup","requests_per_sec_remove","avg_requests_per_sec_add","avg_requests_per_sec_lookup","avg_requests_per_sec_remove"
1000000,34312.25,31959.96,34061.33,29144.1103396017,31289.1505496252,29358.8065997423,29144.1103396017,31289.1505496252,29358.8065997423
2000000,68971.13,65441.97,68624.7,28997.6400270664,30561.4271697505,29144.0254019325,29070.8751833341,30925.2888596879,29251.4160008374
3000000,105398.91,96736.9,104935.58,28463.292457199,31011.950972173,28588.9685843448,28868.3476079557,30954.1762305162,29030.6001953399
4000000,137777.64,132576.68,144254.96,29032.2870968032,30171.2186487096,27728.6826047437,28909.3324801676,30758.4368350646,28705.1207976908
5000000,180355.77,165690.18,178216.6,27722.9833012828,30176.80347743,28055.7478932939,28672.0626443906,30642.1101635377,28575.2462168114
6000000,219456.88,199419.9,212197.76,27340.2228264614,30087.2681211855,28275.5105426184,28450.0893414024,30549.6364898123,28525.2902711126
7000000,256092.09,235588.48,247567.97,27333.917263903,29712.8280635793,28275.063207894,28290.6361874739,30430.0924289219,28489.5435477956
8000000,289280.84,283362.71,283731.93,27654.7869537436,28232.3669194158,28195.6281762155,28211.1550332577,30155.3767402336,28452.8041263481
9000000,321052.08,313333.16,322200.29,28032.8350465756,28723.4201448707,27932.9357524787,28191.3417014041,29996.27045186,28395.040973696
10000000,361954.82,356070.54,355892.34,27627.7575195711,28084.3228423222,28098.3850340808,28134.9832832208,29805.0756909062,28365.3753797345
